chozodecal01_bc maps\textures\chozodecal01_bc.bctex
chozoskypathroofx01_bc maps\textures\chozoskypathroofx01_bc.bctex
doorheatframe_at actors\props\doorheat\models\textures\doorheatframe_at.bctex
chozoaqwallset01_bc maps\textures\chozoaqwallset01_bc.bctex
spawnpointslidlemetallic_nm actors\spawnpoints\spawnpointslidlemetallic\models\textures\spawnpointslidlemetallic_nm.bctex
prueba_cmspecularhdr maps\cubemaps\pruebas\prueba_cmspecularhdr.bctex
cubemetroids maps\textures\temp\cubemetroids.bctex
grub_nm actors\characters\grub\models\textures\grub_nm.bctex
surfacechozowall maps\textures\surfacechozowall.bctex
gobbler_at actors\characters\gobbler\models\textures\gobbler_at.bctex
totalrechargestationbase_nm actors\props\totalrechargestation\models\textures\totalrechargestationbase_nm.bctex
centralunitcave03_nm actors\characters\centralunitcave\models\textures\centralunitcave03_nm.bctex
chozomatpaintedwhite01_nm maps\textures\chozomatpaintedwhite01_nm.bctex
cavcolumcrystal04_bc maps\textures\cavcolumcrystal04_bc.bctex
chozobasejaildoor02_nm maps\textures\chozobasejaildoor02_nm.bctex
chozopathemmy02x4_bc maps\textures\chozopathemmy02x4_bc.bctex
maproom_parallaxdiffusehdr maps\cubemaps\definitivos\maproom_parallaxdiffusehdr.bctex
er_finalimage gui\textures\er_finalimage.bctex
chozomatmetalgreen09_nm maps\textures\chozomatmetalgreen09_nm.bctex
fr2_cave_inidiffusehdr maps\cubemaps\definitivos\fr.2_cave_inidiffusehdr.bctex
pup_widebeam_at actors\items\powerup_widebeam\models\textures\pup_widebeam_at.bctex
chozocavproto02_at maps\textures\chozocavproto02_at.bctex
ev_gatesealeddoordecalls_nm actors\props\ev_gatesealed_aut_001\models\textures\ev_gatesealeddoordecalls_nm.bctex
sky05_bc maps\textures\sky05_bc.bctex
testemmy_cubemapsspecularhdr maps\cubemaps\testemmy_cubemapsspecularhdr.bctex
cavplatformrock04v2_nm maps\textures\cavplatformrock04v2_nm.bctex
roots_at actors\characters\hydrogiga\models\textures\roots_at.bctex
powerbody_nm actors\characters\samus\models\textures\powerbody_nm.bctex
chozobgemmy02_bc maps\textures\chozobgemmy02_bc.bctex
fedship_hol_bc actors\props\fedship_hol\models\textures\fedship_hol_bc.bctex
chozosanccontrol01_bc maps\textures\chozosanccontrol01_bc.bctex
chozomatmetalblue07_bc maps\textures\chozomatmetalblue07_bc.bctex
commoncubediffusehdr maps\cubemaps\commoncubediffusehdr.bctex
chozobasebg01_nm maps\textures\chozobasebg01_nm.bctex
impact5 system\fx\textures\impact5.bctex
chozobasepath_bc maps\textures\chozobasepath_bc.bctex
lava_drops03_anim_pos2 maps\fx\lavadrops\textures\lava_drops03_anim_pos2.bctex
magdigrock06_nm maps\textures\magdigrock06_nm.bctex
hitdemolitionblock01_at maps\textures\hitdemolitionblock01_at.bctex
melee02 actors\characters\samus\fx\textures\melee02.bctex
chozoshipcapsule01_nm maps\textures\chozoshipcapsule01_nm.bctex
emmy_cubemap_test_7diffusehdr maps\cubemaps\pruebas\emmy_cubemap_test_7diffusehdr.bctex
purplenx04_bc maps\textures\purplenx04_bc.bctex
halfbubble system\fx\textures\halfbubble.bctex
noise_energy_02 actors\weapons\bomb\fx\textures\noise_energy_02.bctex
slugger_bc actors\characters\slugger\models\textures\slugger_bc.bctex
ringnoise_energyshards actors\weapons\chozocommanderenergyshardssphere\fx\textures\ringnoise_energyshards.bctex
ship_b_at maps\textures\ship_b_at.bctex
chozoallasset06_bc maps\textures\chozoallasset06_bc.bctex
chozoshipvt03_bc maps\textures\chozoshipvt03_bc.bctex
verticalcavmatte_02 maps\textures\verticalcavmatte_02.bctex
doorbase_bc maps\textures\doorbase_bc.bctex
doorcharge_bc actors\props\doorclosedcharge\models\textures\doorcharge_bc.bctex
lavamat04_nm maps\textures\lavamat04_nm.bctex
gameover system\engine\textures\localized\fr\gameover.bctex
chozodecalmoss01_nm maps\textures\chozodecalmoss01_nm.bctex
splash_la system\fx\textures\splash_la.bctex
aquarock02x4rock_nm maps\textures\aquarock02x4rock_nm.bctex
chozosancsidewall01_bc maps\textures\chozosancsidewall01_bc.bctex
breakable_block_speedbuster_at maps\blocks\breakable_block_speedbuster\textures\breakable_block_speedbuster_at.bctex
chozoforestpathwood01x1v1_nm maps\textures\chozoforestpathwood01x1v1_nm.bctex
particle_1 actors\fx\twotexparticles\fx\textures\particle_1.bctex
vt_orbstatue maps\textures\vt_orbstatue.bctex
specialrocket_rayscenter system\fx\textures_zdr\specialrocket_rayscenter.bctex
powerup_screwattack_at actors\items\powerup_screwattack\models\textures\powerup_screwattack_at.bctex
chozosanclamp_nm maps\textures\chozosanclamp_nm.bctex
roundfan01_lspots maps\lightspots\roundfan01_lspots.bctex
dizzeansprite_emissive actors\characters\dizzeansprite\models\textures\dizzeansprite_emissive.bctex
chozopipesthermalspecial_bc maps\textures\chozopipesthermalspecial_bc.bctex
noise_motionvertical system\fx\textures_zdr\noise_motionvertical.bctex
nxcloud02_bc maps\textures\nxcloud02_bc.bctex
phasedisplacement actors\characters\samus\models\textures\phasedisplacement.bctex
rockcavedark02_nm maps\textures\rockcavedark02_nm.bctex
mapev_planteater_base_bc actors\events\mapev_planteater\models\textures\mapev_planteater_base_bc.bctex
sparks_friction_p4 system\fx\textures_zdr\sparks_friction_p4.bctex
halfwave system\fx\textures\halfwave.bctex
redenergy_nm maps\textures\redenergy_nm.bctex
rodomithonx_at actors\characters\rodomithonx\models\textures\rodomithonx_at.bctex
chozosancpilar_bc maps\textures\chozosancpilar_bc.bctex
hydro_tile_bc actors\characters\hydrogiga\models\textures\hydro_tile_bc.bctex
powerup_bomb actors\items\powerup_ghostaura\models\textures\powerup_bomb.bctex
chozowarriornormal_body_02_bc actors\characters\chozowarriornormal\models\textures\chozowarriornormal_body_02_bc.bctex
path03wetend_at maps\textures\path03wetend_at.bctex
chozosancbgpath01_bc maps\textures\chozosancbgpath01_bc.bctex
chozoalphabet_at maps\textures\chozoalphabet_at.bctex
dockautool_at actors\spawnpoints\spawnpointautool\models\textures\dockautool_at.bctex
path03end_nm maps\textures\path03end_nm.bctex
crystalgems01_nm maps\textures\crystalgems01_nm.bctex
stairs_nm actors\props\elevator_with_cutscene\models\textures\stairs_nm.bctex
sedebuf system\fx\textures\sedebuf.bctex
rockcolumn04f maps\textures\rockcolumn04f.bctex
mapev_plant002_at actors\events\mapev_plant002\models\textures\mapev_plant002_at.bctex
chozomatconcretebase03_nm maps\textures\chozomatconcretebase03_nm.bctex
skin09_bc maps\textures\skin09_bc.bctex
chozomatconcretepattern03_at maps\textures\chozomatconcretepattern03_at.bctex
water_surface_2_nm maps\textures\water_surface_2_nm.bctex
swifter_at actors\characters\swifter\models\textures\swifter_at.bctex
magma_v2diffusehdr maps\cubemaps\19-8\magma_v2diffusehdr.bctex
mattepaintingsanctuary012background01_bc maps\textures\mattepaintingsanctuary012background01_bc.bctex
chozomatconcreteblue05cut_bc maps\textures\chozomatconcreteblue05cut_bc.bctex
impact_decal system\fx\textures_zdr\impact_decal.bctex
halo4 system\fx\textures\halo4.bctex
smoke_grayscale_tiled_01 cutscenes\0057scorpiusdeath\fx\textures\smoke_grayscale_tiled_01.bctex
resinhorizontal_pos maps\fx\resin\textures\resinhorizontal_pos.bctex
cr_8diffusehdr maps\cubemaps\pruebas\cr_8diffusehdr.bctex
chozofrontpath02_bc maps\textures\chozofrontpath02_bc.bctex
lighshaftbase2_bc maps\textures\lighshaftbase2_bc.bctex
emmy2_cubemapspecularhdr maps\cubemaps\emmy2_cubemapspecularhdr.bctex
chozoallbggenwall01_bc maps\objects\chozoallbggenwall06endr\textures\chozoallbggenwall01_bc.bctex
brain_splash_03 system\fx\textures_zdr\brain_splash_03.bctex
chozomagassetn_05_nm maps\textures\chozomagassetn_05_nm.bctex
energy_circle actors\weapons\chozorobotsoldierbeam\fx\textures\energy_circle.bctex
capsula_interior_bc actors\props\capsule_commander\models\textures\capsula_interior_bc.bctex
smoke_trail system\fx\textures_zdr\smoke_trail.bctex
interiorstudio_cubemapspecularhdr maps\cubemaps\interiorstudio_cubemapspecularhdr.bctex
magmeltrockpath01x4_nm maps\textures\magmeltrockpath01x4_nm.bctex
vein01 system\fx\textures_zdr\vein01.bctex
powerbeam_charged_soul_02 system\fx\textures_zdr\powerbeam_charged_soul_02.bctex
chozomatmetalred03_nm maps\textures\chozomatmetalred03_nm.bctex
beamvt03_bc maps\textures\beamvt03_bc.bctex
chozodecal06_nm maps\textures\chozodecal06_nm.bctex
halo system\fx\textures\halo.bctex
texturetext_ddown gui\textures\texturetext_ddown.bctex
voiceadam cutscenes\0086commanderorbital\fx\textures\voiceadam.bctex
cavrockpillar01_bc maps\textures\cavrockpillar01_bc.bctex
rockmatmagma01_nm maps\textures\rockmatmagma01_nm.bctex
lightning_slim_glow system\fx\textures_zdr\lightning_slim_glow.bctex
chozoborderemmy01_at maps\textures\chozoborderemmy01_at.bctex
chozomatconcretepattern02_at maps\textures\chozomatconcretepattern02_at.bctex
chozomatplates01_nm maps\textures\chozomatplates01_nm.bctex
chozocommander_laserburst system\fx\textures_zdr\chozocommander_laserburst.bctex
chozomatmetalgray02_at maps\textures\chozomatmetalgray02_at.bctex
cavcrystal01_bc maps\textures\cavcrystal01_bc.bctex
chozomatmetalbrown03_nm maps\textures\chozomatmetalbrown03_nm.bctex
chozomatconcretewhite01_bc maps\textures\chozomatconcretewhite01_bc.bctex
rays actors\characters\chozorobotsoldier\fx\textures\rays.bctex
treemat01_bc maps\textures\treemat01_bc.bctex
chozomatmetalblue14_nm maps\textures\chozomatmetalblue14_nm.bctex
melee_cutscene system\fx\textures_zdr\melee_cutscene.bctex
console00_bc maps\textures\console00_bc.bctex
gravity_head_at actors\characters\samus\models\textures\gravity_head_at.bctex
gooplot_nm actors\characters\gooshocker\models\textures\gooplot_nm.bctex
cavpathrock03_bc maps\textures\cavpathrock03_bc.bctex
chozoskypathroof02_nm maps\textures\chozoskypathroof02_nm.bctex
noise_ringed actors\weapons\supergoliathlinebomb\fx\textures\noise_ringed.bctex
chozomatpipes11_at maps\textures\chozomatpipes11_at.bctex
chozomagassetn_03_bc maps\textures\chozomagassetn_03_bc.bctex
chozoallbgemmy01set01_nm maps\textures\chozoallbgemmy01set01_nm.bctex
chozobasetank01_bc maps\textures\chozobasetank01_bc.bctex
teleporterdirection_bc actors\props\teleporter\models\textures\teleporterdirection_bc.bctex
autool_bc actors\characters\autool\models\textures\autool_bc.bctex
glow_angle system\fx\textures_zdr\glow_angle.bctex
chozozombiexcutarmor_bc actors\characters\chozozombiex_cut\models\textures\chozozombiexcutarmor_bc.bctex
testmats02_bc maps\textures\testmats02_bc.bctex
ocdoorlasertile system\fx\textures_zdr\ocdoorlasertile.bctex
caverock03_at maps\textures\caverock03_at.bctex
chozosancpath_bc maps\textures\chozosancpath_bc.bctex
trainwagona_at actors\props\wagontrain\models\textures\trainwagona_at.bctex
cavrockbackground12_bc maps\textures\cavrockbackground12_bc.bctex
chozoallasset02_at maps\textures\chozoallasset02_at.bctex
skin06_nm maps\textures\skin06_nm.bctex
grub_at actors\events\mapev_bigfistgrub\models\textures\grub_at.bctex
chozomatcircuits01_nm maps\textures\chozomatcircuits01_nm.bctex
itemsphereicebeam_d actors\items\powerup_icebeam\models\textures\itemsphereicebeam_d.bctex
1_glitch system\fx\generic\textures\1_glitch.bctex
mainbody_at actors\characters\chozoprofessor\models\textures\mainbody_at.bctex
doorchargelight_nm actors\props\doorchargeclosed\models\textures\doorchargelight_nm.bctex
chozomatmetalgray11_bc maps\textures\chozomatmetalgray11_bc.bctex
chozomatflatgray01_bc maps\textures\chozomatflatgray01_bc.bctex
samusgravity_d actors\characters\samus\models\textures\samusgravity_d.bctex
cavrockbackground06_at maps\textures\cavrockbackground06_at.bctex
mattepaintingmagma015background01_bc maps\textures\mattepaintingmagma015background01_bc.bctex
smoke_generic_00 system\fx\textures_zdr\smoke_generic_00.bctex
powerbeam_charged_ringglow system\fx\textures_zdr\powerbeam_charged_ringglow.bctex
footstepplatform_nm actors\props\footstepplatform\models\textures\footstepplatform_nm.bctex
onion_nm actors\props\onion_test\textures\onion_nm.bctex
lightenedkrill_bc actors\events\mapev_lightenedkrill\models\textures\lightenedkrill_bc.bctex
chozomatconcreteblue03_bc maps\textures\chozomatconcreteblue03_bc.bctex
capsula_interior_nm actors\props\capsulelaunchershipyard\models\textures\capsula_interior_nm.bctex
ev_tbboos_nm actors\props\ev_tbboos\models\textures\ev_tbboos_nm.bctex
steamline system\fx\textures\steamline.bctex
cavstatuechozo03mask_bc maps\textures\cavstatuechozo03mask_bc.bctex
bigfist_at actors\characters\bigfist\models\textures\bigfist_at.bctex
specialburst_burstwaves02 system\fx\textures_zdr\specialburst_burstwaves02.bctex
shipextc_at actors\props\samus_ship_b\models\textures\shipextc_at.bctex
shipvt7_b_bc maps\textures\shipvt7_b_bc.bctex
chozowarriorxnormal_body_02_nm actors\characters\chozowarriorxnormal\models\textures\chozowarriorxnormal_body_02_nm.bctex
lava_drops06_anim_pos2 maps\fx\lavadrops\textures\lava_drops06_anim_pos2.bctex
aquanature06b_bc maps\textures\aquanature06b_bc.bctex
cavwaterrock02_bc maps\textures\cavwaterrock02_bc.bctex
chozobase2statue01_bc maps\textures\chozobase2statue01_bc.bctex
icebexplobb system\fx\textures\icebexplobb.bctex
shaft_animeline system\fx\textures_zdr\shaft_animeline.bctex
lavacarpet_fire_02 actors\weapons\cooldownxbosslavacarpet\fx\textures\lavacarpet_fire_02.bctex
waterstream02_nor maps\fx\waterstream\textures\waterstream02_nor.bctex
aquadigrock04_bc maps\textures\aquadigrock04_bc.bctex
chozocolum07_nm maps\textures\chozocolum07_nm.bctex
gooplot_ero actors\characters\gooshocker\models\textures\gooplot_ero.bctex
energywave actors\characters\samus\models\textures\energywave.bctex
chozocavproto01_bc maps\textures\chozocavproto01_bc.bctex
chozoship01_at maps\textures\chozoship01_at.bctex
chozotrail_faded system\fx\textures_zdr\chozotrail_faded.bctex
floortile01_at maps\textures\floortile01_at.bctex
lava_drops04_anim_pos maps\fx\lavadrops\textures\lava_drops04_anim_pos.bctex
chozomatflatblack02_nm maps\textures\chozomatflatblack02_nm.bctex
magma_outsidespecularhdr maps\cubemaps\definitivos\magma_outsidespecularhdr.bctex
kraidprison_at maps\textures\kraidprison_at.bctex
flags01_at maps\textures\flags01_at.bctex
mattepaintingsanctuary012rocks01_bc maps\textures\mattepaintingsanctuary012rocks01_bc.bctex
chozoborderemmy01_nm maps\textures\chozoborderemmy01_nm.bctex
noise_points system\fx\textures_zdr\noise_points.bctex
smoke_hair system\fx\textures_zdr\smoke_hair.bctex
platform_elevator_at actors\props\weightactivatedplatform\models\textures\platform_elevator_at.bctex
chozobasebgcorridor01x3_bc maps\textures\chozobasebgcorridor01x3_bc.bctex
cube_at actors\items\item_cube\model\textures\cube_at.bctex
chozomatconcretewhite02_nm maps\textures\chozomatconcretewhite02_nm.bctex
armor_body_02_bc actors\events\mapev_armor\models\textures\armor_body_02_bc.bctex
emmyprotoblack02_bc actors\characters\emmyproto\models\textures\emmyprotoblack02_bc.bctex
chozoallbgemmy01set04_bc maps\textures\chozoallbgemmy01set04_bc.bctex
noise_disperse_00 system\fx\textures_zdr\noise_disperse_00.bctex
dredhedshield_at actors\characters\dredhed\models\textures\dredhedshield_at.bctex
shipyardrock03_nm maps\textures\shipyardrock03_nm.bctex
capsula_capsula_bc actors\props\capsuleelevatorskybase\models\textures\capsula_capsula_bc.bctex
body_dead_at actors\characters\hydrogiga\models\textures\body_dead_at.bctex
doorgrapplegrapple_nm actors\props\doorgrapplegrapple\models\textures\doorgrapplegrapple_nm.bctex
chozoshiptunnel_id2_nm maps\textures\chozoshiptunnel_id2_nm.bctex
doorcharge_at actors\props\doorclosedcharge\models\textures\doorcharge_at.bctex
samus_motionfresnel system\fx\generic\textures\samus_motionfresnel.bctex
powerup_supermissile_bc actors\items\powerup_supermissile\models\textures\powerup_supermissile_bc.bctex
leave_nm maps\textures\leave_nm.bctex
sky04_bc maps\textures\sky04_bc.bctex
chozomatconcretegray07_nm maps\textures\chozomatconcretegray07_nm.bctex
claw system\fx\textures\claw.bctex
k1diffusehdr maps\cubemaps\definitivos\k.1diffusehdr.bctex
ramp_topsplash maps\objects\fxpouringwaterx4\textures\ramp_topsplash.bctex
samusgravitymorph_d actors\characters\morphball\models\textures\samusgravitymorph_d.bctex
chozobgquarantinewall05_at maps\textures\chozobgquarantinewall05_at.bctex
energy_explosion_void system\fx\textures_zdr\energy_explosion_void.bctex
trainbackground02 system\fx\textures_zdr\trainbackground02.bctex
centralunitcave03_at actors\characters\centralunitcave\models\textures\centralunitcave03_at.bctex
texturetext_stickpress gui\textures\texturetext_stickpress.bctex
plantforestorganictree_nm maps\textures\plantforestorganictree_nm.bctex
fing_nm actors\characters\fing\models\textures\fing_nm.bctex
object_shaft_small system\fx\textures_zdr\object_shaft_small.bctex
ringnoise system\fx\textures_zdr\ringnoise.bctex
supermissile_nm actors\weapons\supermissile\models\textures\supermissile_nm.bctex
particle_1 actors\weapons\scorpiuspoisonousspit\fx\textures\particle_1.bctex
lightningarmour system\fx\textures\lightningarmour.bctex
distortion_trilineal system\fx\textures_zdr\distortion_trilineal.bctex
impactdecal001_at maps\textures\impactdecal001_at.bctex
magnetglovezipline_at maps\textures\magnetglovezipline_at.bctex
sandbase01_at maps\textures\sandbase01_at.bctex
door_at actors\props\samuship_int\models\textures\door_at.bctex
chozomagasset_bc maps\textures\chozomagasset_bc.bctex
chozomatmetalyellow05_nm maps\textures\chozomatmetalyellow05_nm.bctex
arrow system\fx\textures\arrow.bctex
magdigrocklava02_nm maps\textures\magdigrocklava02_nm.bctex
doorbase_at maps\textures\doorbase_at.bctex
kraid_barriga_nm actors\characters\kraid\models\textures\kraid_barriga_nm.bctex
slime01 system\fx\textures\slime01.bctex
butterfly_bc actors\events\butterfly\models\textures\butterfly_bc.bctex
chozoemmysp01_at maps\textures\chozoemmysp01_at.bctex
hybrid_pv5_nm actors\characters\hybrid_pv5\models\textures\hybrid_pv5_nm.bctex
